upMH,SUM_Area
JQD0643001,561.8095392
JQD0643002,557.1892267
JQD0643003,568.574646
JQD0643004,46.78542686
JQD0643005,421.6797232
JQD0643006,97.19001184
JQD0643007,1929.109433
JQD0644001,325.4047599
JQD0653001,362.3612289
JQD0653002,12.99739593
JQD0653003,519.5231922
JQD0653004,230.9314977
JQD0653005,1051.195001
JQD0654001,148.3042509
JQD0654002,60.19071877
JQD0654003,1131.30822
JQD0654004,890.6975187
JQD0654005,1545.3369
JQD0654006,1490.300691
JQD0654007,66.14895409
JQD0654008,
JQD0654009,138.5301133
JQD0654010,17.95357364
JQD0654011,
JQD0654012,388.2128416
JQD0654013,548.6729268
JQD0654014,
JQD0654015,
JQD0654016,
JQD0654017,166.2466359
JQD0654018,1254.302118
JQD0654019,1014.644313
JQD0654020,109.2021051
JQD0654021,189.4533901
JQD0654022,647.2046142
JQD0664001,16.21940912
JQD0664002,
JQD0664003,
JQD0664004,
JQD0664005,
JQD0664006,
JQD0664007,
JQD0664008,77.45674277
JQD0664009,449.5384544
JQD0664010,
JQD0664011,9.328193189
JQD0664012,
JQD0664013,
JQD0664014,
JQD0665001,62.23776428
JQD0665002,112.645213
JQD0665003,685.0966778
JQD0665004,284.0393666
JQD0839001,804.2844392
JQD0839002,543.8950138
JQD0849001,255.7212506
JQD0849002,189.9709237
JQD0849003,
JQD0849004,195.340152
JQD0849005,
JQD0849006,
JQD0849007,
JQD0849008,
JQD0849009,
JQD0849010,
JQD0849011,35.16144959
JQD0849012,383.1142172
JQD0849013,
JQD0849014,
JQD0858001,
JQD0858002,1368.478049
JQD0858003,10.50699901
JQD0858004,601.8601713
JQD0858005,97.39304588
JQD0859001,
JQD0859002,107.5320523
JQD0859003,644.3153748
JQD0859004,12.01720806
JQD0859005,
JQD0859006,479.5483364
JQD0859007,360.366081
JQD0859008,277.7422043
JQD0859009,
JQD0859010,128.2128281
JQD0859011,83.11442596
JQD0859012,
JQD0859013,
JQD0859014,8.387076497
JQD0859015,
JQD0859016,624.118955
JQD0859017,162.9714861
JQD0859018,196.8831029
JQD0859019,
JQD0859020,3.317446559
JQD0859021,85.77900084
JQD0859022,
JQD0869001,313.05976
JQD0869002,
JQD0869003,659.1724424
JQD0869004,
JQD0869005,
JQD0869006,
JQD0869007,69.20472413
JQD0869008,
JQD0869009,
JQD0869010,406.9903075
